t,V,Vtilde,tau_star,d_star,V_recomputed,Vtilde_linkage
184.325,115396.33954425267,115396.33962614195,309.32662822602384,0.0,115420.20755175628,115420.20755175628
186.15,115407.36338191388,115407.3634646178,308.5485810878193,0.0,115431.16081258889,115431.16081258889
187.975,115418.57098437924,115418.57106789765,307.76294956284625,0.0,115442.28912804424,115442.28912804424
189.8,115429.95430336271,115429.95438769825,306.9707215015623,0.0,115453.58530734356,115453.58530734356
191.625,115441.5053451162,115441.50543027536,306.1729602231895,0.0,115465.04182028795,115465.04182028795
193.45,115453.21617739889,115453.21626339233,305.370742432708,0.0,115476.65027163854,115476.65027163854
195.275,115465.07893038497,115465.07901722733,304.56509414808096,0.0,115488.40366124721,115488.40366124721
197.1,115477.08579085284,115477.08587856196,303.75693140070285,0.0,115500.29350624296,115500.29350624296
198.925,115489.2289899357,115489.22907853164,302.94701193063713,0.0,115512.31209266765,115512.31209266765
200.75,115501.50078558263,115501.50087508617,302.1359029091752,0.0,115524.4521922835,115524.4521922835
202.575,115513.893441574,115513.89353200502,301.32396801604676,0.0,115536.70570078974,115536.70570078974
204.4,115526.39920537182,115526.39929674788,300.5113751609044,0.0,115549.06466933704,115549.06466933704
206.225,115539.01028721819,115539.01037955325,299.69812398464376,0.0,115561.52159305237,115561.52159305237
208.05,115551.71884270928,115551.71893601265,298.8840902317041,0.0,115574.06869189937,115574.06869189937
209.875,115564.5169606015,115564.51705487745,298.069082361981,0.0,115586.69792481657,115586.69792481657
211.7,115577.396656913,115577.3967521608,297.2529045470457,0.0,115599.40202660348,115599.40202660348
213.525,115590.34987555663,115590.34997177098,296.4354195930912,0.0,115612.17239447848,115612.17239447848
215.35,115603.36849488803,115603.36859206013,295.6166054096133,0.0,115625.00197996561,115625.00197996561
217.175,115616.44433878071,115616.44443689963,294.79659938426676,0.0,115637.88193604832,115637.88193604832
219.0,115629.56919024723,115629.56928930145,293.9757263473534,0.0,115650.80468891276,115650.80468891276
220.825,115642.73480528579,115642.73490526466,293.1545075708165,0.0,115663.76124968073,115663.76124968073
222.65,115655.93292458948,115655.93302548486,292.33365025855255,0.0,115676.74457813671,115676.74457813671
