t0_month,tau,t_calendar,I_baseline,I_xi_small,I_xi_full,OC,Y_H_baseline,Y_H_xi_small,Y_H_xi_full
5,50.66763998154723,170.66763998154724,13905.392213217694,15171.971758499516,1.280474966339541e6,1.2498819193416685e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,53.64808939222648,173.6480893922265,14607.250566918328,15915.352371077222,1.322699145524272e6,1.2906848519761562e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,56.62853880290573,176.62853880290572,15369.073802473362,16717.557234466043,1.3638465138073082e6,1.3304007203963697e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,59.60898821358498,179.60898821358498,16193.261388935372,17582.00068181386,1.4049266206603574e6,1.3700336319152713e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,62.58943762426423,182.58943762426424,17082.066270502182,18511.00111067584,1.4460109108162827e6,1.4096484472920448e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,65.56988703494348,185.56988703494346,18037.610249948313,19506.687346091836,1.487108732574682e6,1.449248611977592e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,68.55033644562272,188.55033644562272,19061.898193806956,20571.070935940377,1.5282286861095177e6,1.4888369051154852e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,71.53078585630197,191.53078585630197,20156.833508979926,21704.065564303368,1.5674003960584546e6,1.5264362095359564e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,74.51123526698122,194.5112352669812,21324.23339367978,22894.145552711394,1.5912479890357335e6,1.5486722344373018e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,77.49168467766047,197.4916846776605,22565.843181499164,24158.39759787092,1.6151317384502569e6,1.5709007273777425e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,80.47213408833971,200.47213408833971,23883.352370597124,25498.516645378124,1.6390592543306933e6,1.5931228777182102e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,83.45258349901897,203.45258349901897,25278.407183661253,26916.15479430444,1.6630375124756068e6,1.6153423085671812e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,86.43303290969821,206.43303290969823,26752.626594259604,28412.93534341572,1.687072943857475e6,1.6375610486763716e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,89.41348232037747,209.41348232037745,28307.614247232897,29987.63028677453,1.7083207524028013e6,1.656929811254844e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,92.39393173105671,212.3939317310567,29944.972533114604,31637.42457208121,1.7223940180299876e6,1.6690610286944062e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,95.37438114173597,215.37438114173597,31666.315652676152,33371.190442824496,1.7365382709886888e6,1.6811965870533437e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,98.35483055241521,218.3548305524152,33473.28060705708,35190.569197863166,1.7507588498078876e6,1.6933379229920954e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,101.33527996309446,221.33527996309448,35367.541516807636,37097.237737581345,1.7650608127923908e6,1.7054863888875544e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,104.3157293737737,224.3157293737737,37350.819418051535,39092.92044456993,1.7794489962145602e6,1.7176436111735702e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,107.29617878445296,227.29617878445296,39424.89442481145,41178.05260350976,1.792580551008505e6,1.728462425308451e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,110.2766281951322,230.27662819513222,41591.61823733165,43354.1928002972,1.8041638417307134e6,1.7376500653012097e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,113.25707760581146,233.25707760581145,43852.923074380415,45624.91892683657,1.8158463944323824e6,1.7468498597697616e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,116.2375270164907,236.2375270164907,46210.83484903163,47992.259232133205,1.8276327035285407e6,1.7560629912638515e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
5,119.21797642716996,239.21797642716996,48667.48373386177,50458.34578325722,1.8395272685805932e6,1.7652906935689896e6,3.7868739023586116e6,3.7853151895551817e6,2.2282537921454646e6
