t,ymin_case,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
149.65,ymin_zero,optimal_fallow,89238.22696044581,89267.98695433987,278.6930144592628,0.0,-3.3065950115137914,12.228491363608203,-15.535086375121995
151.475,ymin_zero,optimal_fallow,89235.65945300748,89261.95241844385,277.40922593408834,0.0,-3.3065950115137914,12.227664714855324,-15.534259726369115
153.3,ymin_zero,optimal_fallow,89233.16712614878,89255.92790503312,276.13645307758367,0.0,-3.1953866132201707,12.226839439045635,-15.422226052265806
155.125,ymin_zero,optimal_fallow,89232.12202544803,89250.09632446399,275.0757318429734,0.0,-3.1953866132201707,12.226040592392328,-15.421427205612499
156.95,ymin_zero,optimal_fallow,89231.07692474729,89244.26474389486,274.0150106083632,0.0,-3.1953866132201707,12.225241745739023,-15.420628358959194
158.775,ymin_zero,optimal_fallow,89230.65855773671,89239.92383776468,272.831361488753,0.0,-1.7876963823250704,12.224647101063656,-14.012343483388726
160.6,ymin_zero,optimal_fallow,89230.69357254454,89236.66129186694,271.55878581403647,0.0,-1.7876963823250704,12.224200176968075,-14.011896559293145
162.425,ymin_zero,optimal_fallow,89230.83930335312,89233.335596395,270.3063965603036,0.0,-2.0991189400337324,12.223744602245892,-14.322863542279624
164.25,ymin_zero,optimal_fallow,89231.87076216775,89229.50470432943,269.21549867444014,0.0,-2.0991189400337324,12.223219822510883,-14.322338762544614
166.075,ymin_zero,optimal_fallow,89232.90222098237,89225.67381226388,268.12460078857663,0.0,-2.0991189400337324,12.222695042775875,-14.321813982809608
167.9,ymin_zero,optimal_fallow,89234.7010971873,89222.63096572655,267.02788634618395,0.0,-1.4264984154046432,12.22227821448309,-13.648776629887733
169.725,ymin_zero,optimal_fallow,89236.9279561676,89220.02760611844,265.9279280549577,0.0,-1.4264984154046432,12.22192158987924,-13.648420005283883
171.55,ymin_zero,optimal_fallow,89239.32615147658,89217.77556303004,264.796940109667,0.0,-0.3127356718867226,12.221613090826034,-12.534348762712757
173.375,ymin_zero,optimal_fallow,89242.54431350146,89217.20482042884,263.5174531056394,0.0,-0.3127356718867226,12.221534906908062,-12.534270578794784
175.2,ymin_zero,optimal_fallow,89245.76247552635,89216.63407782765,262.2379661016118,0.0,-0.3127356718867226,12.22145672299009,-12.534192394876813
177.025,ymin_zero,optimal_fallow,89249.50125447357,89215.7106989156,261.0686409292084,0.0,-0.5873191006789424,12.221330232728166,-12.808649333407107
178.85,ymin_zero,optimal_fallow,89253.45924054594,89214.63884155685,259.94569968591003,0.0,-0.5873191006789424,12.221183402952995,-12.808502503631939
180.675,ymin_zero,optimal_fallow,89257.63378856382,89213.78438385617,258.82116166546183,0.0,-0.07947851517245688,12.221066353952901,-12.300544869125359
182.5,ymin_zero,optimal_fallow,89262.51501240386,89213.63933556598,257.6914131090514,0.0,-0.07947851517245688,12.22104648432411,-12.300524999496567
184.325,ymin_zero,optimal_fallow,89267.39623624389,89213.4942872758,256.56166455264093,0.0,-0.07947851517245688,12.221026614695315,-12.300505129867773
186.15,ymin_zero,optimal_fallow,89272.85323027836,89214.65679165938,255.31145492822696,0.0,0.8565512380396064,12.221185861871149,-11.364634623831542
187.975,ymin_zero,optimal_fallow,89278.48667001758,89216.2199976688,254.02432981523128,0.0,0.8565512380396064,12.221399999680658,-11.364848761641051
189.8,ymin_zero,optimal_fallow,89284.30217124347,89217.6269833595,252.77824619707349,0.0,0.567650648616477,12.221592737446509,-11.653942088830032
191.625,ymin_zero,optimal_fallow,89290.5500685002,89218.66294579323,251.6296361291556,0.0,0.567650648616477,12.221734650108663,-11.654084001492187
193.45,ymin_zero,optimal_fallow,89296.79796575695,89219.69890822694,250.48102606123777,0.0,0.567650648616477,12.221876562770815,-11.654225914154338
195.275,ymin_zero,optimal_fallow,89303.62712852198,89221.32475102416,249.32769319036413,0.0,0.9584117154153082,12.222099280962215,-11.263687565546906
197.1,ymin_zero,optimal_fallow,89310.57774975145,89223.07385240479,248.17337346514154,0.0,0.9584117154153082,12.22233888389107,-11.26392716847576
198.925,ymin_zero,optimal_fallow,89317.75912758068,89225.11313451474,247.00763046643524,0.0,1.4025239322094107,12.222618237604761,-10.82009430539535
200.75,ymin_zero,optimal_fallow,89325.35427586467,89227.67274069102,245.8214043566548,0.0,1.4025239322094107,12.222968868587813,-10.820444936378403
202.575,ymin_zero,optimal_fallow,89332.94942414865,89230.2323468673,244.63517824687435,0.0,1.4025239322094107,12.223319499570865,-10.820795567361454
204.4,ymin_zero,optimal_fallow,89341.0525623115,89233.13110274608,243.46642552197721,0.0,1.6115888173109834,12.223716589417272,-10.61212777210629
206.225,ymin_zero,optimal_fallow,89349.21919920918,89236.07225233768,242.29985697019052,0.0,1.6115888173109834,12.224119486621602,-10.612530669310619
208.05,ymin_zero,optimal_fallow,89357.62218065707,89239.24308977439,241.13103633771706,0.0,1.91142307120899,12.2245538479143,-10.31313077670531
209.875,ymin_zero,optimal_fallow,89366.35187368908,89242.73143687934,239.95910253488253,0.0,1.91142307120899,12.225031703682104,-10.313608632473114
211.7,ymin_zero,optimal_fallow,89375.08156672108,89246.2197839843,238.787168732048,0.0,1.91142307120899,12.225509559449906,-10.314086488240916
213.525,ymin_zero,optimal_fallow,89384.15186024328,89251.14602784686,237.45880944082063,0.0,2.7402409852208853,12.226184387376284,-9.4859434021554
215.35,ymin_zero,optimal_fallow,89393.23984729743,89256.14696764489,236.12232415019628,0.0,2.7402409852208853,12.226869447622589,-9.486628462401704
217.175,ymin_zero,optimal_fallow,89402.52470731134,89260.71702097131,234.85716403950414,0.0,2.249874926904335,12.227495482324839,-9.977620555420504
219.0,ymin_zero,optimal_fallow,89412.02158435882,89264.8230427129,233.66881566104678,0.0,2.249874926904335,12.228057951056563,-9.978183024152228
220.825,ymin_zero,optimal_fallow,89421.52342425397,89268.9341670568,232.4804083338081,0.0,2.476346590085971,12.228621118774905,-9.752274528688934
222.65,ymin_zero,optimal_fallow,89431.42229196301,89273.4534995837,231.28728510406575,0.0,2.476346590085971,12.229240205422427,-9.752893615336456
224.475,ymin_zero,optimal_fallow,89441.32115967205,89277.97283211061,230.0941618743234,0.0,2.476346590085971,12.229859292069948,-9.753512701983977
226.3,ymin_zero,optimal_fallow,89451.46275545182,89282.18048454374,228.97675836052773,0.0,2.161949484285893,12.230435682814212,-10.06848619852832
228.125,ymin_zero,optimal_fallow,89461.8084634729,89286.12604235257,227.9230282442327,0.0,2.161949484285893,12.230976170185285,-10.069026685899392
229.95,ymin_zero,optimal_fallow,89472.18342632026,89290.184858518,226.8587001319018,0.0,2.999751026395064,12.231532172399728,-9.231781146004664
231.775,ymin_zero,optimal_fallow,89482.9240744961,89295.65940414117,225.661897069122,0.0,2.999751026395064,12.232282110156326,-9.232531083761263
