node,fallow,V_at_node,tau_at_node,d_at_node,t0_at_node
310.9259259259259,optimal_fallow,63181.06690191169,121.93322639448735,0.0,310.9259259259259
315.4320987654321,optimal_fallow,63206.65667344178,118.86259445499189,0.0,315.4320987654321
319.9382716049383,optimal_fallow,63231.73639715428,115.98445857390277,0.0,319.9382716049383
324.44444444444446,optimal_fallow,63256.27709435696,112.65432098765433,0.0,324.44444444444446
328.95061728395063,optimal_fallow,63279.74398206804,110.09849668130317,0.0,328.95061728395063
333.4567901234568,optimal_fallow,63302.54438499625,108.03886199130875,0.0,333.4567901234568
337.962962962963,optimal_fallow,63324.63212116227,105.78828693008757,0.0,337.962962962963
342.4691358024691,optimal_fallow,63346.047180258654,104.41245255994704,0.0,342.4691358024691
346.9753086419753,optimal_fallow,63366.9218713072,104.08456146032205,0.0,346.9753086419753
351.48148148148147,optimal_fallow,63387.772865260966,104.97356471440412,0.0,351.48148148148147
355.98765432098764,optimal_fallow,63409.02965715062,108.87744288069399,0.0,355.98765432098764
360.4938271604938,optimal_fallow,63432.20362117259,115.46800263859097,0.0,360.4938271604938
0.0,no_fallow,64145.254434457514,133.04903569480177,0.0,0.0
4.506172839506172,no_fallow,64175.82255067809,155.78360229633603,0.0,4.506172839506172
9.012345679012345,no_fallow,64207.64608983479,178.16810762461094,0.0,9.012345679012345
13.518518518518519,no_fallow,64239.75091914282,200.20081046510154,0.0,13.518518518518519
18.02469135802469,no_fallow,64271.384909651795,219.6510032219531,0.0,18.02469135802469
22.530864197530864,no_fallow,64302.7453888006,307.85571671032807,0.0,22.530864197530864
27.037037037037038,no_fallow,64338.94749740846,311.54577299575874,0.0,27.037037037037038
31.54320987654321,no_fallow,64373.03865401515,312.52549847627824,0.0,31.54320987654321
36.04938271604938,no_fallow,64403.47129214984,312.6619536139364,0.0,36.04938271604938
40.55555555555556,no_fallow,64428.03621716937,312.4776388063854,0.0,40.55555555555556
45.06172839506173,no_fallow,64444.14127957453,312.1429363368304,0.0,45.06172839506173
