t,scenario,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
324.85,baseline,no_fallow,107323.54004247024,107299.41958104749,279.3682926380535,0.0,3.6333676516767297,14.698550627540754,-11.065182975864024
326.675,baseline,no_fallow,107325.57436089442,107306.0504770118,281.1619304935453,0.0,3.6333676516767297,14.699458969453673,-11.066091317776943
328.5,baseline,no_fallow,107327.60867931861,107312.6813729761,282.9555683490371,0.0,3.6333676516767297,14.700367311366591,-11.066999659689861
330.325,baseline,no_fallow,107329.08803282569,107318.77938412422,284.8066350597164,0.0,3.2456409944879967,14.701202655359484,-11.455561660871489
332.15,baseline,no_fallow,107330.38543062223,107324.70267893917,286.6765309032442,0.0,3.2456409944879967,14.702014065608108,-11.456373071120112
333.975,baseline,no_fallow,107331.504152689,107330.36571899703,288.5137418503124,0.0,2.743422166038101,14.702789824520142,-11.95936765848204
335.8,baseline,no_fallow,107332.17230117627,107335.37246445003,290.26853001500405,0.0,2.743422166038101,14.70347568006165,-11.96005351402355
337.625,baseline,no_fallow,107332.84044966355,107340.37920990305,292.0233181796957,0.0,2.743422166038101,14.70416153560316,-11.960739369565058
339.45,baseline,no_fallow,107333.02189347768,107344.72899466465,293.7942132000732,0.0,2.3016304183818987,14.704757396529406,-12.403126978147506
341.275,baseline,no_fallow,107333.09272259337,107348.9294701782,295.56876886947026,0.0,2.3016304183818987,14.705332804134002,-12.403702385752103
343.1,baseline,no_fallow,107332.95226069042,107352.86675713291,297.40556907029486,0.0,1.8844430746312857,14.70587215851136,-12.821429083880075
344.925,baseline,no_fallow,107332.41185507362,107356.30586574411,299.3601892770357,0.0,1.8844430746312857,14.706343269280017,-12.821900194648732
346.75,baseline,no_fallow,107331.87144945681,107359.74497435532,301.31480948377657,0.0,1.8844430746312857,14.706814380048675,-12.82237130541739
348.575,baseline,no_fallow,107330.86811421443,107362.18371699586,303.10759745718843,0.0,1.2590937123007178,14.707148454382997,-13.44805474208228
350.4,baseline,no_fallow,107329.79957761633,107364.4815630208,304.8775921583004,0.0,1.2590937123007178,14.70746322781107,-13.448369515510352
