t,fallow,V,Vtilde,tau_star,d_star,Vtilde_prime,delta_Vtilde,stocking_resid
268.275,optimal_fallow,58504.31635313545,57057.00401346505,258.94722222222225,0.0,7.4311323697748435,7.816027947050007,-0.3848955772751639
270.1,optimal_fallow,58518.219065706464,57070.565830039886,257.12222222222226,0.0,7.4311323697748435,7.817885730142451,-0.38675336036760743
271.925,optimal_fallow,58548.87967228807,57084.01907697944,255.29722222222227,9.327777777777754,8.132175871067789,7.987153071841419,0.14502279922636951
273.75,optimal_fallow,58582.45469521934,57097.45344224329,253.47222222222229,20.277777777777654,8.063243534491582,8.00133428309051,0.061909251401072396
275.575,optimal_fallow,58608.788843341696,57289.46210176423,278.1885802469126,26.338580246913555,8.002440230559975,8.010026827994809,-0.007586597434833919
277.4,optimal_fallow,58623.444161127074,57769.493816538525,345.71358024691204,24.513580246913566,8.002440230559975,8.010026827994809,-0.007586597434833919
279.225,optimal_fallow,58638.09947891246,58249.525531312844,413.23858024691356,22.68858024691352,8.002440230559975,8.010026827994809,-0.007586597434833919
281.05,optimal_fallow,58652.76306394601,58304.56839989072,417.4067901234567,20.863580246913532,8.002440230559975,8.010026827994809,-0.007586597434833919
282.875,optimal_fallow,58667.42743101655,58319.40962085541,415.5817901234567,19.038580246913543,8.002440230559975,8.010026827994809,-0.007586597434833919
284.7,optimal_fallow,58682.09582247503,58334.23418994732,413.7567901234567,17.213580246913555,8.002440230559975,8.010026827994809,-0.007586597434833919
286.525,optimal_fallow,58696.769244418436,58349.03794419822,411.9317901234567,15.388580246913566,8.002440230559975,8.010026827994809,-0.007586597434833919
288.35,optimal_fallow,58711.442666361836,58363.84169844913,410.1067901234567,13.563580246913519,8.002440230559975,8.010026827994809,-0.007586597434833919
290.175,optimal_fallow,58725.80108852012,58378.6047564149,408.2817901234567,8.178703703703588,8.034490094093075,8.00610877418349,0.02838131990958459
292.0,optimal_fallow,58740.15153600031,58393.36678409497,406.4567901234567,2.703703703703633,8.063243534491582,8.002080879714075,0.061162654777506376
293.825,optimal_fallow,58754.77958127495,58408.10521995511,404.6317901234567,0.0,8.063243534491582,8.001110304103442,0.06213323038813989
295.65,optimal_fallow,58769.67845366613,58422.82063940556,402.8067901234567,0.0,8.063243534491582,8.003126114987063,0.06011741950451821
297.475,optimal_fallow,58784.574602306704,58437.53411533643,400.9817901234567,0.0,8.034490094093075,8.005141659635129,0.02934843445794577
299.3,optimal_fallow,58799.39993343155,58452.197059758146,399.1567901234567,0.0,8.034490094093075,8.007150282158651,0.027339811934423253
301.125,optimal_fallow,58814.22526455639,58466.86000417986,397.3317901234567,0.0,8.034490094093075,8.009158904682174,0.025331189410900734
302.95,optimal_fallow,58829.02662607656,58481.489731489935,395.5067901234567,0.0,8.002440230559975,8.011162976916431,-0.008722746356456312
304.775,optimal_fallow,58843.809749854016,58496.094184910704,393.6817901234567,0.0,8.002440230559975,8.01316358697407,-0.010723356414095164
306.6,optimal_fallow,58858.587956387804,58510.69170745696,391.8567901234567,0.0,7.963988118487053,8.015163247596844,-0.05117512910979105
308.425,optimal_fallow,58873.32129307305,58525.2259857732,390.0317901234567,0.0,7.963988118487053,8.017154244626466,-0.05316612613941363
310.25,optimal_fallow,58888.054629758306,58539.76026408943,388.2067901234567,0.0,7.963988118487053,8.019145241656087,-0.05515712316903443
