day,LHS,RHS
180.15008721931142,31953.88918947801,17072.0436677358
181.69448452292616,32099.824006407856,17215.74943777298
183.2388818265409,32242.12816449158,17358.485002066096
184.78327913015568,32380.820522426813,17500.24449546773
186.32767643377042,32515.920594160696,17641.022371830466
187.87207373738516,32647.448521450424,17780.813396638634
189.41647104099994,32775.42504714375,17919.612639781495
190.96086834461468,32899.87148916321,18057.415468465297
192.50526564822943,33020.80971517846,18194.2175402621
194.0496629518442,33138.2621179509,18330.0147962922
195.59406025545894,33252.25159133567,18464.803454538433
197.1384575590737,33362.80150692613,18598.580003289662
198.68285486268846,33469.93569132622,18731.341194711204
200.2272521663032,33573.67840403638,18863.084038539775
201.77164946991795,33674.054315939444,18993.805795901168
203.31604677353272,33771.08848837229,19123.503973247647
204.86044407714746,33864.80635277051,19252.17631641401
206.4048413807622,33955.233690872534,19379.82080478897
207.94923868437698,34042.3966154706,19506.435645600843
209.49363598799172,34126.32155169614,19632.019268314747
211.03803329160647,34207.035218827,19756.57031913965
212.58243059522124,34284.56461260489,19880.087655643296
214.12682789883598,34358.93698805084,20002.57034147292
215.67122520245073,34430.17984276764,20124.017641179784
217.2156225060655,34498.32090071755,20244.429015146008
218.76001980968024,34563.388096464514,20363.804114611412
220.304417113295,34625.409559870095,20482.14277679889
221.84881441690976,34684.413601232365,20599.4450201363
223.3932117205245,34740.42869685754,20715.711039573318
224.93760902413925,34793.483475054345,20830.941201991416
226.48200632775402,34843.60670254091,20945.13604170525
228.02640363136877,34890.82727125475,21058.296256053807
229.5708009349835,34935.17418555629,21170.422701080028
231.11519823859828,34976.67654981653,21281.51638729647
232.65959554221303,35015.36355637987,21391.57847553649
234.20399284582777,69161.5971083564,21543.801730616622
235.74839014944254,108758.22073657988,22039.64839295258
237.2927874530573,133676.2471471291,22738.047609451118
238.83718475667203,153552.46135877428,23578.48137296489
240.3815820602868,170612.5463315968,24533.011159443857
241.92597936390155,185807.04299218394,25584.19875793681
243.4703766675163,199645.98726369365,26719.696478198537
245.01477397113106,212440.2611381494,27930.105756311503
246.5591712747458,224395.68415960504,29207.926838266234
248.10356857836055,235656.69725483333,30546.972351060995
249.64796588197532,246329.16662571332,31942.009638341937
251.19236318559007,256493.3431346403,33388.52806692694
252.7367604892048,266211.7191720753,34882.579960514006
254.28115779281958,275534.04144511436,36420.66751703389
255.82555509643433,284500.6442833932,37999.659813122635
257.3699524000491,293144.74337483087,39616.7302583067
258.91434970366385,301494.06032193487,41269.308396790686
260.4587470072786,309572.0019319822,42955.04205002967
262.00314431089333,317398.53469386697,44671.767086404216
263.5475416145081,324990.84538539173,46417.4829304409
265.0919389181228,332363.8483471072,48190.33246778881
266.6363362217376,339530.58070800116,49988.585369550674
268.18073352535237,346502.51433098613,51810.62411353154
269.7251308289671,353289.8049120305,53654.93215919083
271.26952813258185,359901.49299893755,55520.083861842126
272.8139254361966,366345.6677672338,57404.735805730175
274.35832273981134,372629.60162020725,59307.61930536264
275.90272004342614,378759.86169564625,61227.53387689802
277.4471173470409,384742.402919811,63163.34152128027
278.99151465065563,390582.6461875392,65113.9616915149
280.5359119542704,396285.54445627704,67078.36684035105
282.0803092578851,401855.6389457527,69055.57846338447
283.62470656149986,407297.1071811686,71044.66356744559
285.16910386511466,412613.80426898383,73044.73150600461
286.7135011687294,417809.29852382216,75054.93113287687
288.25789847234415,422886.9023534788,77074.44823325686
289.8022957759589,427849.6991422614,79102.50319743427
291.34669307957364,432700.5667405181,81138.3489077409
292.8910903831884,437442.19806237734,83181.26881357127
294.4354876868032,442077.11920858145,85230.57517289132
295.97988499041793,446607.7054623477,87285.60744162675
297.5242822940327,451036.19545009953,89345.73079483725
299.0686795976474,455364.703712922,91410.33476568288
300.61307690126216,459595.23189682653,93478.83198999375
302.1574742048769,463729.67873861035,95550.65704576708
303.7018715084917,467769.8489981437,97625.26537823025
305.24626881210645,471717.4614662157,99702.13230221353
306.7906661157212,475574.15615892265,101780.75207455234
308.33506341933594,479341.5007942784,103860.63703005912
309.8794607229507,483020.99663382315,105941.31677533424
311.4238580265654,486614.0837610527,108022.33743530746
312.9682553301802,490122.1458591813,110103.26094795464
314.51265263379497,493546.5145427916,112183.66440310312
316.0570499374097,496888.4732911213,114263.13942167272
317.60144724102446,500149.2610248863,116341.29157205792
319.1458445446392,503330.07536348846,118417.73982068764
320.69024184825395,506432.07559511316,120492.11601408821
322.23463915186875,509456.38538843684,122564.06439002717
323.7790364554835,512404.09527138836,124633.24111554663
325.32343375909824,515276.26489955257,126699.31384989384
326.867831062713,518073.925134305,128761.96133053955
328.4122283663277,520798.0799485907,130820.8729806327
329.95662566994247,523449.7081763339,132875.7485363898
331.50102297355727,526029.7651197923,134926.2976930388
333.045420277172,528539.1840276786,136972.23976806496
334.58981758078676,530978.8774555641,139013.30338060108
336.1342148844015,533349.738518919,141049.2261459023
337.67861218801625,535652.6420481176,143079.75438393748
339.223009491631,537888.4456538238,145104.64284119508
340.7674067952458,540057.99071036,147123.65442488337
342.31180409886053,542162.1032639414,149136.5599487617
343.8562014024753,544201.5948720045,151143.13788989733
345.40059870609,546177.2633792931,153143.1741557013
346.94499600970477,548089.8936358363,155136.4618606386
348.4893933133195,549940.2581614937,157122.801112054
350.0337906169343,551729.1177613268,159101.99880459617
351.57818792054906,553457.2220956794,161073.86842276028
353.1225852241638,555125.3102085124,163038.2298510992
354.66698252777854,556734.1110172296,164994.90919168835
356.2113798313933,558284.34376696,166943.738588455
357.75577713500803,559776.7184520153,168884.5560580138
359.30017443862283,561211.9362070044,170817.20532666452
360.8445717422376,562590.6896698948,172741.5356732431
362.3889690458523,563913.6633191148,174657.40177752668
363.93336634946706,565181.5337866272,176564.6635739178
365.4777636530818,566394.9701487536,178463.18611015112
367.02216095669655,567554.6341963718,180352.83941077624
368.56655826031135,568661.1806860102,182233.49834519424
370.1109555639261,569715.2575732117,184105.04250002766
371.65535286754084,570717.5062294647,185967.35605563378
373.1997501711556,571668.5616438779,187820.32766656013
374.74414747477033,572569.0526106972,189663.85034577572
376.2885447783851,573419.6019036783,191497.8213525011
377.8329420819999,574220.8264382561,193322.1420834911
379.3773393856146,574973.3374223764,195136.7179676102
380.92173668922936,575677.7404967977,196941.45836356655
382.4661339928441,576334.6358656114,198736.27646067474
384.01053129645885,576944.6184176713,200521.0891825143
385.5549286000736,577508.2778395785,202295.81709337234
387.0993259036884,578026.1987208194,204060.3843073578
388.64372320730314,578498.9606516126,205814.71840007693
390.1881205109179,578927.1383139786,207558.75032277513
391.7325178145326,579311.3015665179,209292.4143188463
393.2769151181474,579652.015523344,211015.64784262094
394.8213124217621,579949.8406275809,212728.39148034796
396.3657097253769,580205.3327198239,214430.5888732879
397.91010702899166,580419.043101916,216122.18664283867
399.4545043326064,580591.5185963812,217803.1343176255
400.99890163622115,580723.301601827,219473.3842624795
402.5432989398359,580814.9301446097,221132.89160924175
404.08769624345064,580866.9379270311,222781.61418932801
405.63209354706544,580879.8543723327,224419.51246799482
407.1764908506802,580854.2046667087,226046.54948024882
408.7208881542949,580790.509798572,227662.6907683441
410.26528545790967,580689.2865952778,229267.90432081657
411.8096827615244,580551.0477574919,230862.1605130031
413.35408006513916,580376.3018913933,232445.4320490011
414.89847736875396,580165.5535388691,234017.69390501498
416.4428746723687,579919.3032058717,235578.9232740615
417.98727197598345,579638.0473890706,237129.09951197155
419.5316692795982,579322.2786009482,238668.20408466645
421.07606658321293,578972.4853934613,240196.220516659
422.6204638868277,578589.1523803885,241713.134340749
424.1648611904425,578172.7602584764,243218.9330488739
425.7092584940572,577723.785827488,244713.6060440831
427.25365579767197,577242.7020092508,246197.144593603
428.7980531012867,576729.9778657951,247669.54178296108
430.34245040490146,576186.0786166681,249130.79247114202
431.8868477085162,575611.4656554984,250580.89324673897
433.431245012131,575006.5965658942,252019.8423850866
434.97564231574574,574371.9251367302,253447.63980633128
436.5200396193605,573707.9013769011,254864.28703443237
438.06443692297523,573014.9715295907,256269.7871570513
439.60883422659,572293.5780861165,257664.14478631955
441.1532315302047,571544.1597994015,259047.36602045363
442.6976288338195,570767.1516971204,260419.45840619993
444.24202613743427,569962.9850945661,261780.43090208594
445.786423441049,569132.0876072714,263130.2938424555
