node,Q,xi,V,tau_star,d_star
17.804878048780488,0.25,0.25,104156.8440761042,347.19512195121945,0.0
26.70731707317073,0.25,0.25,104153.91365323137,338.2926829268293,0.0
35.609756097560975,0.25,0.25,104123.97724516582,331.4901381936743,0.0
44.51219512195122,0.25,0.25,104080.70677891711,327.9216403035291,0.0
53.41463414634146,0.25,0.25,103991.42678301934,322.10308754671877,0.0
62.31707317073171,0.25,0.25,103872.88914203345,319.2126835869147,0.0
71.21951219512195,0.25,0.25,103721.27507669036,314.64354346749667,0.0
80.1219512195122,0.25,0.25,103556.18758471218,311.5853658536585,0.0
89.02439024390245,0.25,0.25,103376.25008044824,308.2743900058964,0.0
97.92682926829268,0.25,0.25,103196.32168943674,303.06892493676867,0.0
106.82926829268293,0.25,0.25,103038.05503602664,300.4496538654675,0.0
115.73170731707317,0.25,0.25,102887.87563252164,296.5099463568879,0.0
124.63414634146342,0.25,0.25,102763.61327804552,293.780511804878,0.0
133.53658536585365,0.25,0.25,102659.98194826754,290.7861833202471,0.0
142.4390243902439,0.25,0.25,102586.87178519127,290.3801927939203,0.0
151.34146341463415,0.25,0.25,102528.00051803158,284.87807078048775,0.0
160.2439024390244,0.25,0.25,102478.60681438466,278.75990143502605,0.0
169.14634146341464,0.25,0.25,102475.10182875843,277.66070855888336,0.0
178.0487804878049,0.25,0.25,102479.67703103632,275.9756327560976,0.0
186.9512195121951,0.25,0.25,102502.87443732639,275.9756327560975,0.0
195.85365853658536,0.25,0.25,102517.71761795468,270.16706615520354,0.0
204.7560975609756,0.25,0.25,102539.34066114484,265.76643514853356,0.0
213.65853658536585,0.25,0.25,102590.67052517104,266.2766379047097,0.0
222.5609756097561,0.25,0.25,102630.9679038054,263.0285040688013,0.0
231.46341463414635,0.25,0.25,102666.77058699746,257.8043472647695,0.0
240.3658536585366,0.25,0.25,102753.95407744567,262.8737649067034,0.0
249.26829268292684,0.25,0.25,102811.94342297912,260.49119983139826,0.0
258.1707317073171,0.25,0.25,102861.0786784968,255.5427081436015,0.0
