t,V_xi0,Vtilde_xi0,tau_star_xi0,d_star_xi0,V_xi_small,Vtilde_xi_small,tau_star_xi_small,d_star_xi_small,V_xi_mid,Vtilde_xi_mid,tau_star_xi_mid,d_star_xi_mid,W
73.0,106879.9290086706,106912.53359991462,327.7719918523679,0.0,107359.03820445473,107390.15994601944,327.57983950724775,0.0,112805.59200660113,112858.1964176601,325.2351533053631,0.0,1.352848123383332e8
74.825,106865.7716157452,106896.65452547502,327.38038172788316,0.0,107344.82524203157,107374.17925416454,327.2022476869891,0.0,112791.94465959689,112837.60375803514,325.40321889333995,0.0,1.3526195060471636e8
76.65,106851.61422281979,106880.77545103543,326.9887716033985,0.0,107330.61227960841,107358.19856230964,326.8246558667305,0.0,112778.29731259264,112817.01109841018,325.5712844813168,0.0,1.352390888710995e8
78.475,106837.45682989439,106864.89637659582,326.59716147891385,0.0,107316.39931718525,107342.21787045473,326.44706404647184,0.0,112764.6499655884,112796.4184387852,325.73935006929366,0.0,1.3521622713748267e8
80.3,106823.29943696898,106849.01730215622,326.20555135442913,0.0,107302.18635476209,107326.23717859983,326.0694722262132,0.0,112751.00261858414,112775.82577916024,325.9074156572705,0.0,1.3519336540386584e8
82.125,106809.14204404358,106833.13822771663,325.8139412299445,0.0,107287.97339233893,107310.25648674491,325.6918804059545,0.0,112737.3552715799,112755.23311953526,326.0754812452474,0.0,1.35170503670249e8
83.95,106794.98465111817,106817.25915327702,325.4223311054598,0.0,107273.76042991577,107294.27579489001,325.3142885856959,0.0,112723.70792457565,112734.6404599103,326.24354683322423,0.0,1.3514764193663216e8
85.775,106780.82725819276,106801.38007883742,325.0307209809751,0.0,107259.54746749261,107278.2951030351,324.93669676543726,0.0,112710.0605775714,112714.04780028533,326.4116124212011,0.0,1.3512478020301533e8
87.6,106766.97613761289,106785.74054169234,324.6262008447439,0.0,107245.6864626368,107262.59374952134,324.5443572639098,0.0,112696.05579414613,112697.39888985372,326.19323308413414,0.0,1.3510278070549434e8
89.425,106753.62270959454,106770.49025265087,324.20070193942445,0.0,107232.39738882793,107247.34632081195,324.1280527803204,0.0,112681.47017653672,112687.15857186134,325.34688074387105,0.0,1.3508218234162912e8
91.25,106740.26928157617,106755.23996360939,323.775203034105,0.0,107219.10831501905,107232.09889210254,323.711748296731,0.0,112666.8845589273,112676.91825386895,324.500528403608,0.0,1.350615839777639e8
