t,Q,xi,V,Vtilde,tau_star,d_star,W,fallow_foc
98.55,0.1,0.0,86822.81959049807,86982.37421993686,302.44839264703086,0.0,1.1642471034486228e8,-32.39438888839794
100.375,0.1,0.0,86789.05885768961,86945.0000537705,301.76154254190703,0.0,1.1636935824822147e8,-32.389269139608025
102.2,0.1,0.0,86755.29812488116,86907.62588760417,301.0746924367832,0.0,1.1631400615158065e8,-32.384149390818116
104.025,0.1,0.0,86721.5373920727,86870.25172143783,300.3878423316594,0.0,1.1625865405493984e8,-32.37902964202821
105.85,0.1,0.0,86687.77665926424,86832.87755527148,299.70099222653556,0.0,1.1620330195829901e8,-32.3739098932383
107.675,0.1,0.0,86655.48426405371,86797.0096273323,298.964188752956,0.0,1.1615055607970946e8,-30.588008235820205
109.5,0.1,0.0,86624.89204921969,86762.88576470876,298.1695445369539,0.0,1.1610082792728451e8,-30.58333373409095
111.325,0.1,0.0,86594.29983438569,86728.76190208521,297.37490032095184,0.0,1.1605109977485958e8,-30.578659232361698
113.15,0.1,0.0,86563.70761955169,86694.63803946167,296.58025610494974,0.0,1.1600137162243463e8,-30.573984730632446
114.975,0.1,0.0,86533.11540471768,86660.51417683814,295.7856118889477,0.0,1.159516434700097e8,-30.569310228903195
116.8,0.1,0.0,86504.82970347053,86628.32691275464,295.2034931692141,0.0,1.1591101947062325e8,-28.752103294520914
118.625,0.1,0.0,86478.17778268075,86597.51140597032,294.77191334267076,0.0,1.1587684424630573e8,-28.747881992221693
120.45,0.1,0.0,86451.52586189096,86566.69589918602,294.3403335161274,0.0,1.1584266902198821e8,-28.74366068992247
122.275,0.1,0.0,86424.87394110118,86535.8803924017,293.908753689584,0.0,1.158084937976707e8,-28.73943938762325
124.1,0.1,0.0,86398.2220203114,86505.0648856174,293.47717386304066,0.0,1.1577431857335319e8,-28.735218085324032
125.925,0.1,0.0,86374.67094633834,86477.04674825391,292.7624425553981,0.0,1.157401929157488e8,-26.564310617207354
127.75,0.1,0.0,86352.40298139291,86450.18614306457,291.93054511764547,0.0,1.1570608776850846e8,-26.560631082249913
129.575,0.1,0.0,86330.13501644747,86423.32553787524,291.09864767989285,0.0,1.1567198262126814e8,-26.55695154729247
131.4,0.1,0.0,86307.86705150203,86396.46493268589,290.26675024214023,0.0,1.156378774740278e8,-26.553272012335025
133.225,0.1,0.0,86285.59908655661,86369.60432749655,289.4348528043876,0.0,1.1560377232678747e8,-26.54959247737758
135.05,0.1,0.0,86268.00935849054,86347.46157274317,288.60504263147556,0.0,1.1557757222379048e8,-23.429204382462345
136.875,0.1,0.0,86251.38279684083,86326.29014013836,287.7756621895601,0.0,1.1555299962990242e8,-23.426304186215113
138.7,0.1,0.0,86234.75623519112,86305.11870753355,286.9462817476446,0.0,1.1552842703601436e8,-23.423403989967877
140.525,0.1,0.0,86218.12967354139,86283.94727492874,286.11690130572913,0.0,1.155038544421263e8,-23.42050379372064
142.35,0.1,0.0,86201.50311189168,86262.77584232393,285.2875208638136,0.0,1.1547928184823823e8,-23.41760359747341
144.175,0.1,0.0,86188.75582770575,86241.33620602981,285.01846385624395,0.0,1.154696935138739e8,-23.56916404437008
146.0,0.1,0.0,86176.20748082567,86219.88281570034,284.778141383769,0.0,1.1546087360307491e8,-23.566225223777003
