t,k,m,lambda
147,0.003935739536305359,0.00020667971644414414,0.0004447486644477333
148,0.003902038230932444,0.00020589332818191734,0.00042656413255924927
149,0.0038686539305360203,0.00020510816696895428,0.00040920632247590157
150,0.003835593200328858,0.00020432447294208377,0.0003926366795518351
151,0.003802862295139876,0.00020354248308047658,0.00037681835279399455
152,0.0037704671648518422,0.00020276243114686237,0.0003617161355822456
153,0.0037384134600435726,0.0002019845476329663,0.00034729640663390903
154,0.0037067065378203353,0.0002012090597091276,0.0003335270714476052
155,0.0036753514678163454,0.00020043619117804244,0.00032037750443088297
156,0.0036443530383537216,0.0001996661624325719,0.0003078184918882128
157,0.003613715762742572,0.00019889919041756143,0.00029582217602040393
158,0.003583443885707209,0.0001981354885955983,0.00028436200006325715
159,0.0035535413899239737,0.00019737526691664223,0.0002734126546721596
160,0.0035240120026565685,0.0001966187317914577,0.0002629500256401844
161,0.003494859202475098,0.00019586608606876661,0.0002529511430200654
162,0.0034660862260456568,0.00019511752901605044,0.00024339413170489926
163,0.0034376960749775603,0.0001943732563039107,0.00023425816350858378
164,0.0034096915227159238,0.0001936334599939107,0.0002255234107746572
165,0.0033820751214676545,0.00019289832852980752,0.0002171710015312473
166,0.003354849209149479,0.00019216804673208543,0.00020918297620016623
167,0.003328015916347019,0.00019144279579570112,0.00020154224585969502
168,0.0033015771732744703,0.00019072275329094527,0.00019423255205320265
169,0.0032755347167248944,0.00019000809316732775,0.00018723842812929948
170,0.0032498900970015787,0.00018929898576038704,0.00018054516209370668
171,0.0032246446848214426,0.0001885955978013317,0.00017413876094830654
172,0.003199799678181919,0.00018789809242941038,0.00016800591648884346
173,0.0031753561091831637,0.00018720662920691247,0.00016213397252944463
174,0.0031513148507979843,0.00018652136413670068,0.0001565108935193923
175,0.003127676623582242,0.00018584244968217472,0.0001511252345153992
176,0.003104442002319031,0.00018517003478956366,0.00014596611247091838
177,0.0030816114225902286,0.00018450426491244609,0.00014102317880273336
178,0.0030591851872696246,0.00018384528203839893,0.00013628659319416453
179,0.003037163472932055,0.00018319322471767321,0.00013174699859362776
180,0.0030155463361735604,0.00018254822809379205,0.00012739549736700645
181,0.002994333719837807,0.00018191042393598001,0.00012322362856224159
182,0.0029735254591445525,0.00018127994067331096,0.00011922334624473053
183,0.0029531212877162063,0.0001806569034304881,0.00011538699886248765
184,0.002933120843498902,0.0001800414340651492,0.00011170730960055666
185,0.002913523674574917,0.00017943365120660223,0.00010817735768481977
186,0.002894329244863524,0.00017883367029589674,0.0001047905605961395
187,0.00287553693970773,0.00017824160362713275,0.0001015406571566422
188,0.0028571460713446403,0.00017765756038991347,9.842169145090434e-5
189,0.002839155884257505,0.00017708164671285045,9.542799754582197e-5
190,0.002821565560407763,0.00017651396570802803,9.255418497400673e-5
191,0.0028043742243456567,0.0001759546175163381,8.97951249466521e-5
192,0.0027875809481983007,0.0001754036993535938,8.714593726293196e-5
193,0.0027711847565342427,0.00017486130555733877,8.460197788414765e-5
194,0.0027551846311038622,0.00017432752763426305,8.215882714197345e-5
195,0.002739579515455098,0.00017380245430814444,7.981227855130267e-5
196,0.0027243683194242644,0.00017328617156823041,7.755832819934644e-5
197,0.0027095499235018318,0.0001727787627179815,7.539316468375506e-5
198,0.002695123183073296,0.00017228030842409822,7.331315957365794e-5
199,0.00268108693253534,0.00017179088676575353,7.131485836861402e-5
200,0.0026674399892877335,0.00017131057328395472,6.93949719315335e-5
201,0.0026541811576014734,0.0001708394410309641,6.755036837269095e-5
202,0.002641309232363859,0.00017037756061970524,6.577806536296808e-5
203,0.002628823002701246,0.00016992500027308675,6.40752228554659e-5
204,0.002616721255480398,0.00016948182587317193,6.243913619559243e-5
205,0.0026050027786893885,0.00016904810101013741,6.0867229600669333e-5
206,0.0025936663646991404,0.00016862388703094548,5.9357049991014394e-5
207,0.0025827108134067003,0.00016820924308767862,5.790626115533236e-5
208,0.0025721349352614636,0.00016780422618546868,5.6512638234096395e-5
209,0.0025619375541756184,0.0001674088912299683,5.5174062505424655e-5
210,0.0025521175103200653,0.00016702329107430526,5.388851645874262e-5
211,0.0025426736628071643,0.00016664747656546398,5.265407914229149e-5
212,0.0025336048922616635,0.00016628149659004667,5.146892177126575e-5
213,0.002524910103281191,0.0001659253981193581,5.033130358408452e-5
214,0.002516588226787676,0.00016557922625377075,4.923956793496991e-5
215,0.002508638222271119,0.0001652430242663159,4.819213861167133e-5
216,0.0025010590799270822,0.0001649168336454637,4.7187516367802616e-5
217,0.0024938498226892663,0.00016460069413704235,4.6224275659867176e-5
218,0.0024870095081585756,0.00016429464378525687,4.530106157963963e-5
219,0.0024805372304299625,0.00016399871897277026,4.4416586973134584e-5
220,0.002474432121818392,0.000163712954459801,4.356962973794202e-5
221,0.002468693354485204,0.00016343738342220992,4.275903029124006e-5
222,0.0024633201419660858,0.00016317203748853179,4.198368920130808e-5
223,0.002458311740601881,0.00016291694677592546,4.124256497585631e-5
224,0.0024536674508733643,0.00016267213992500742,4.053467200097705e-5
225,0.0024493866186410785,0.00016243764413353528,3.985907862498539e-5
226,0.002445468636291261,0.00016221348518891915,3.921490538187774e-5
227,0.002441912943788861,0.00016199968749952648,3.8601323349581e-5
228,0.0024387190296385436,0.00016179627412475823,3.801755263860457e-5
229,0.0024358864317545292,0.00016160326680387093,3.746286100713176e-5
230,0.002433414738240046,0.0001614206859835202,3.6936562599013404e-5
231,0.0024313035880771197,0.00016124855084400302,3.643801680153877e-5
232,0.0024295526717273003,0.0001610868793241829,3.596662722027355e-5
233,0.002428161731643906,0.0001609356881450717,3.5521840768662246e-5
234,0.0024271305626962733,0.00016079499283205403,3.510314687050043e-5
235,0.0024264590125063572,0.0001606648077357381,3.471007677378998e-5
236,0.0024261469816980836,0.00016054514605141378,3.434220297489919e-5
237,0.002426194424059603,0.0001604360198371062,3.399913875236246e-5
238,0.002426601346618678,0.00016033744003021252,3.3680537810069695e-5
239,0.0024273678096312134,0.00016024941646270357,3.338609403002018e-5
240,0.0024284939264829605,0.00016017195787488867,3.311554133524465e-5
241,0.002429979863504287,0.0001601050719277268,3.286865366394032e-5
242,0.002431825839697823,0.0001600487652136751,3.264524505631674e-5
243,0.002434032126378756,0.00016000304326607356,3.244516985611315e-5
244,0.0024365990467274004,0.00015996791056705205,3.226832302923119e-5
245,0.002439526975253644,0.00015994337055395713,3.2114640602423705e-5
246,0.0024428163371727667,0.00015992942562429485,3.198410022549825e-5
247,0.002446467607692058,0.00015992607713918584,3.18767218610357e-5
248,0.0024504813112075667,0.00015993332542532863,3.179256860618657e-5
249,0.002454858020410285,0.00015995116977546978,3.173174765170111e-5
250,0.0024595983553009288,0.00015997960844738555,3.169441138397153e-5
251,0.0024647029821125107,0.0001600186386613676,3.1680758636516415e-5
252,0.002470172612139699,0.0001600682565962217,3.169103609803016e-5
253,0.00247600800047403,0.00016012845738377684,3.1725539884848164e-5
254,0.002482209944643904,0.00016019923510191458,3.178461728644949e-5
255,0.002488779283158231,0.00016028058276611626,3.1868668693436934e-5
256,0.002495716893952609,0.0001603724923195393,3.197814971829883e-5
257,0.002503023692736793,0.00016047495462162973,3.211357352017939e-5
258,0.002510700631242227,0.00016058795943527378,3.2275513345860346e-5
259,0.0025187486953683466,0.00016071149541250482,3.246460530019458e-5
260,0.00252716890322632,0.00016084555007877147,3.2681551360339676e-5
261,0.0025359623030789193,0.00016099010981577677,3.292712264931351e-5
262,0.0025451299711750975,0.00016114515984290824,3.320216298564602e-5
263,0.0025546730094779496,0.0001613106841972636,3.3507592727232336e-5
264,0.002564592543284631,0.00016148666571229358,3.384441292891078e-5
265,0.0025748897187368508,0.00016167308599507625,3.421370983479799e-5
266,0.0025855657002205627,0.0001618699254022368,3.461665972801577e-5
267,0.0025966216676534715,0.0001620771630145377,3.50545341621545e-5
268,0.0026080588136590077,0.00016229477661015404,3.552870560062824e-5
269,0.0026198783406254644,0.00016252274263665566,3.6040653492007395e-5
270,0.0026320814576489735,0.00016276103618172275,3.6591970811457715e-5
271,0.0026446693773591397,0.00016300963094261338,3.718437110058513e-5
272,0.0026576433126261033,0.00016326849919441207,3.7819696040286895e-5
273,0.0026710044731479304,0.00016353761175708355,3.8499923593640835e-5
274,0.0026847540619173295,0.000163816937961362,3.922717675844018e-5
275,0.0026988932715666714,0.00016410644561350396,4.000373297169782e-5
276,0.0027134232805905117,0.0001644061009589358,4.083203421130918e-5
277,0.0027283452494448347,0.0001647158686448294,4.1714697843076904e-5
278,0.002743660316522415,0.00016503571168164047,4.2654528264471455e-5
279,0.0027593695940037544,0.00016536559140364318,4.365452939982156e-5
280,0.0027754741635832667,0.0001657054674285006,4.471791810510513e-5
281,0.002791975072070494,0.00016605529761590834,4.584813854413982e-5
282,0.0028088733268663056,0.00016641503802535587,4.704887760174583e-5
283,0.002826169891314219,0.00016678464287304,4.832408140337605e-5
284,0.002843865679927183,0.00016716406448798624,4.967797301475541e-5
285,0.002861961553490331,0.00016755325326741138,5.111507139925099e-5
286,0.002880458314040472,0.00016795215763138442,5.264021171497445e-5
287,0.002899356699723303,0.00016836072397683263,5.4258567037992374e-5
288,0.0029186573795295287,0.00016877889663094057,5.59756716024572e-5
289,0.0029383609479114313,0.0001692066178040006,5.779744565295182e-5
290,0.002958467919281562,0.0001696438275417661,5.973022200881854e-5
291,0.0029789787223956695,0.00017009046367736608,6.178077444469672e-5
292,0.00299989369462213,0.0001705464617828401,6.39563479958528e-5
293,0.0030212130761005486,0.00017101175512035082,6.6264691301119e-5
