t,k,m,lambda,k_baseline,m_baseline,lambda_baseline
168,0.0027035222246916306,0.0003370722536368249,0.00023209370752850806,0.0033015771732744703,0.00019072275329094527,0.00012191072954595138
169,0.0026816006837079047,0.00033514218570060856,0.00022336661853790675,0.0032755347167248944,0.00019000809316732775,0.0001177153143937032
170,0.002660172688079214,0.0003332406756427061,0.00021503643033472463,0.0032498900970015787,0.00018929898576038704,0.00011368965076534859
171,0.0026392174436939797,0.0003313667873384844,0.00020708176529918288,0.0032246446848214426,0.0001885955978013317,0.00010982729945149986
172,0.0026187146975079284,0.000329519600278931,0.00019948253723969044,0.003199799678181919,0.00018789809242941038,0.000106122025889443
173,0.002598644738502079,0.0003276982105956085,0.00019221987029846368,0.0031753561091831637,0.00018720662920691247,0.00010256779778032967
174,0.002578988398739523,0.0003259017320532698,0.00018527602301319444,0.0031513148507979843,0.00018652136413670068,9.915878236101059e-5
175,0.002559727054521461,0.00032412929701010383,0.00017863431720919958,0.003127676623582242,0.00018584244968217472,9.588934336978943e-5
176,0.0025408426276380264,0.00032238005734548636,0.0001722790714154128,0.003104442002319031,0.00018517003478956366,9.275403774306016e-5
177,0.0025223175867047968,0.0003206531853549874,0.0001661955385156896,0.0030816114225902286,0.00018450426491244609,8.97476120775209e-5
178,0.002504134948571549,0.00031894787461231197,0.00016036984736423148,0.0030591851872696246,0.00018384528203839893,8.686499889043865e-5
179,0.0024862782797858765,0.00031726334079773837,0.00015478894811046418,0.003037163472932055,0.00018319322471767321,8.410131270826793e-5
180,0.002468731698090575,0.00031559882249255166,0.00014944056099442182,0.0030155463361735604,0.00018254822809379205,8.145184601183729e-5
181,0.0024514798739303455,0.00031395358193889145,0.00014431312838863734,0.002994333719837807,0.00018191042393598001,7.891206506428021e-5
182,0.002434508031940503,0.00031232690576437467,0.00013939576987671007,0.0029735254591445525,0.00018127994067331096,7.647760564593964e-5
183,0.002417801952387597,0.0003107181056707935,0.0001346782401721179,0.0029531212877162063,0.0001806569034304881,7.41442687185935e-5
184,0.0024013479725297653,0.00030912651908615726,0.00013015088969354295,0.002933120843498902,0.0001800414340651492,7.190801603955757e-5
185,0.0023851329878626162,0.0003075515097793103,0.0001258046276249128,0.002913523674574917,0.00017943365120660223,6.976496574450359e-5
186,0.0023691444532150867,0.00030599246843634326,0.00012163088729967086,0.002894329244863524,0.00017883367029589674,6.77113879162023e-5
187,0.002353370383658486,0.0003044488131979951,0.00011762159375937204,0.00287553693970773,0.00017824160362713275,6.574370015485301e-5
188,0.002337799355191279,0.00030291999015726436,0.00011376913334669705,0.0028571460713446403,0.00017765756038991347,6.385846316419787e-5
189,0.002322420505161852,0.0003014054738164458,0.00011006632520233984,0.002839155884257505,0.00017708164671285045,6.205237636623525e-5
190,0.0023072235323914688,0.0002999047675028564,0.0001065063945440055,0.002821565560407763,0.00017651396570802803,6.0322273556049106e-5
191,0.0022921986969601646,0.0002984174037425136,0.00010308294761398577,0.0028043742243456567,0.0001759546175163381,5.8665118607048494e-5
192,0.0022773368196190745,0.00029694294459113346,9.978994818947205e-5,0.0027875809481983007,0.0001754036993535938,5.70780012357703e-5
193,0.0022626292807939,0.00029548098192181993,9.662169555696877e-5,0.0027711847565342427,0.00017486130555733877,5.5558132834331214e-5
194,0.0022480680191457867,0.00029403113766892557,9.357280385887037e-5,0.0027551846311038622,0.00017432752763426305,5.4102842377620916e-5
195,0.002233645529657712,0.00029259306402762376,9.063818272654017e-5,0.002739579515455098,0.00017380245430814444,5.270957241140839e-5
196,0.002219354861216823,0.0002911664436088312,8.781301912004887e-5,0.0027243683194242644,0.00017328617156823041,5.13758751266774e-5
197,0.0022051896136655535,0.0002897509895492124,8.509276030016464e-5,0.0027095499235018318,0.0001727787627179815,5.0099408524717936e-5
198,0.002191143934297351,0.00028834644557610643,8.247309786323274e-5,0.002695123183073296,0.00017228030842409822,4.8877932676778785e-5
199,0.002177212513775784,0.0002869525860273336,7.994995277425579e-5,0.00268108693253534,0.00017179088676575353,4.77093060814146e-5
200,0.002163390581459294,0.00028556921582595005,7.751946133784823e-5,0.0026674399892877335,0.00017131057328395472,4.6591482122055815e-5
201,0.002149673900117301,0.00028419617041015687,7.517796205075444e-5,0.0026541811576014734,0.0001708394410309641,4.552250562677165e-5
202,0.002136058760027253,0.0002828333156186973,7.292198328336046e-5,0.002641309232363859,0.00017037756061970524,4.450050953169332e-5
203,0.0021225419724460273,0.0002814805475322039,7.074823174108546e-5,0.002628823002701246,0.00016992500027308675,4.3523711649107146e-5
204,0.0021091208624531973,0.0002801377922711049,6.865358165972724e-5,0.002616721255480398,0.00016948182587317193,4.2590411540816125e-5
205,0.0020957932611678255,0.00027880500575083576,6.663506469180718e-5,0.0026050027786893885,0.00016904810101013741,4.169898749699988e-5
206,0.0020825574973445944,0.00027748217339525346,6.468986044368195e-5,0.0025936663646991404,0.00016862388703094548,4.0847893620474226e-5
207,0.002069412388359429,0.0002761693098092601,6.281528762572056e-5,0.0025827108134067003,0.00016820924308767862,4.003565701595909e-5
208,0.0020563572305988408,0.0002748664584118348,6.1008795780188594e-5,0.0025721349352614636,0.00016780422618546868,3.926087508370742e-5
209,0.002043391789271564,0.0002735736910307637,5.9267957553632205e-5,0.0025619375541756184,0.0001674088912299683,3.852221291662266e-5
210,0.002030516287665057,0.00027229110746051843,5.7590461482568945e-5,0.0025521175103200653,0.00016702329107430526,3.78184007997982e-5
211,0.0020177313958734833,0.0002710188349848631,5.5974105263135146e-5,0.0025426736628071643,0.00016664747656546398,3.71482318112459e-5
212,0.0020050382190276482,0.0002697570278658925,5.44167894770687e-5,0.0025336048922616635,0.00016628149659004667,3.651055952243829e-5
213,0.0019924382850610425,0.0002685058668013202,5.2916511748000854e-5,0.002524910103281191,0.0001659253981193581,3.590429579717599e-5
