t,k,m,lambda,k_const,m_const,lambda_const
165,0.0033820751214676545,0.00019289832852980752,9.008356757733211e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
166,0.003354849209149479,0.00019216804673208543,8.744837482425133e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
167,0.003328015916347019,0.00019144279579570112,8.490384301583326e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
168,0.0033015771732744703,0.00019072275329094527,8.244725364346716e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
169,0.0032755347167248944,0.00019000809316732775,8.007594222514229e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
170,0.0032498900970015787,0.00018929898576038704,7.778729966504177e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
171,0.0032246446848214426,0.0001885955978013317,7.557877338461919e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
172,0.003199799678181919,0.00018789809242941038,7.344786823951749e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
173,0.0031753561091831637,0.00018720662920691247,7.139214723631771e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
174,0.0031513148507979843,0.00018652136413670068,6.940923206271195e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
175,0.003127676623582242,0.00018584244968217472,6.749680344426238e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
176,0.003104442002319031,0.00018517003478956366,6.565260134047077e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
177,0.0030816114225902286,0.00018450426491244609,6.387442499241026e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
178,0.0030591851872696246,0.00018384528203839893,6.216013283370264e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
179,0.003037163472932055,0.00018319322471767321,6.05076422761359e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
180,0.0030155463361735604,0.00018254822809379205,5.891492938072435e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
181,0.002994333719837807,0.00018191042393598001,5.738002842452274e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
182,0.0029735254591445525,0.00018127994067331096,5.590103137300959e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
183,0.0029531212877162063,0.0001806569034304881,5.447608726736687e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
184,0.002933120843498902,0.0001800414340651492,5.310340153549374e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
185,0.002913523674574917,0.00017943365120660223,5.178123523511686e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
186,0.002894329244863524,0.00017883367029589674,5.0507904236886095e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
187,0.00287553693970773,0.00017824160362713275,4.9281778354886875e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
188,0.0028571460713446403,0.00017765756038991347,4.81012804315516e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
189,0.002839155884257505,0.00017708164671285045,4.6964885383516e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
190,0.002821565560407763,0.00017651396570802803,4.587111921454548e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
191,0.0028043742243456567,0.0001759546175163381,4.481855800124847e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
192,0.0027875809481983007,0.0001754036993535938,4.380582685690032e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
193,0.0027711847565342427,0.00017486130555733877,4.283159887832682e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
194,0.0027551846311038622,0.00017432752763426305,4.189459408043214e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
195,0.002739579515455098,0.00017380245430814444,4.099357832261219e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
196,0.0027243683194242644,0.00017328617156823041,4.012736223096587e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
197,0.0027095499235018318,0.0001727787627179815,3.929480011990145e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
198,0.002695123183073296,0.00017228030842409822,3.84947889164409e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
199,0.00268108693253534,0.00017179088676575353,3.7726267090241665e-5,0.004000000000000002,0.00019999999999999985,0.00015000000000000004
